session_date|stored_break_start|stored_reopen|missing_minutes
2024-03-13|22:59|00:00|61.0000000000000000
2024-07-17|23:59|01:00|61.0000000000000000
2024-10-16|23:59|01:00|61.0000000000000000
2024-10-30|22:59|00:00|61.0000000000000000
2024-11-06|23:59|01:00|61.0000000000000000
2024-12-18|23:59|01:00|61.0000000000000000
2025-01-15|23:59|01:00|61.0000000000000000
2025-03-19|22:59|00:00|61.0000000000000000
2025-07-16|23:55|01:05|70.0000000000000000
2025-10-29|22:59|00:00|61.0000000000000000
2025-11-05|23:59|01:00|61.0000000000000000
